keys,en
"开始游戏","New Game"
"继续游戏","Continue"
"退出游戏","Quit"
"游戏设置","Settings"
"历史记录","History"
"进入地图","Enter Map"
"设置","Settings"
"保存当前局","Save Run"
"保存当前局进度（进房/离房等关键节点也会自动存档）","Save current run (also auto-saves at key points such as entering/leaving a room)"
"返回","Back"
"（以后的设置会加到这里：总体音量 · 本地化 · 帧数 …）","(More settings will be added here: master volume · localization · FPS …)"
"我是标题","Title Here"
"输入种子：（留空以随机生成）","Seed (leave empty for random)"
"放遗物之类的","(put relics and similar here)"

"选择你的职业","Choose Your Job"
"研究员","Researcher"
"精灵","Elf"
"清水基底 · 队列炼药 · 遗物：炼金典籍","Clear Water base · Queue brewing · Relic: Alchemy Codex"
"浓油基底 · 栈炼药 · 遗物：腐蚀手册","Thick Oil base · Stack brewing · Relic: Corrosion Manual"
"黏液基底 · 反转炼药 · 遗物：反转卷轴","Slime base · Reverse brewing · Relic: Scroll of Reversal"
"研究员 = 队列炼药　·　精灵 = 栈炼药　·　E.T. = 反转炼药","Researcher = Queue brewing　·　Elf = Stack brewing　·　E.T. = Reverse brewing"

"🎉 通关！","🎉 Victory!"
"💀 你倒下了…","💀 You have fallen…"
"回到主菜单","Back to Main Menu"
"通关！","Victory!"
"你倒下了…","You have fallen…"
"职业：{0}","Job: {0}"
"到达：第 {0} 大层","Reached: Act {0}"
"货币：{0}","Gold: {0}"
"口袋药材：{0}","Herbs in pocket: {0}"
"总时长：{0}","Total time: {0}"

"第 {0} 层","Act {0}"
"第 {0} 层 · {1}","Act {0} · {1}"
"第 {0} 大层    生命 {1}/{2}    货币 {3}    口袋 {4}","Act {0}    HP {1}/{2}    Gold {3}    Pocket {4}"
"{0}  {1}/{2} · 护盾 {3}","{0}  {1}/{2} · Block {3}"
"{0}  {1}/{2}   护盾 {3}","{0}  {1}/{2}   Block {3}"
"货币 {0}","Gold {0}"
"口袋 {0}","Pocket {0}"
"战斗 -","Battle -"
"战斗 {0:0.0}s","Battle {0:0.0}s"
"总时长 {0}","Total {0}"
"第 1 层","Act 1"
"HP 0/0 · 护盾 0","HP 0/0 · Block 0"
"货币 0","Gold 0"
"口袋 0","Pocket 0"
"战斗 0s","Battle 0s"
"总时长 00:00","Total 00:00"

"战斗","Combat"
"事件","Event"
"宝藏","Treasure"
"商店","Shop"
"房间","Room"
"药材口袋","Herb Pocket"
"（口袋是空的）","(The pocket is empty)"
"关闭","Close"
"回主菜单","Back to Main Menu"
"起","Start"
"战","F"
"精","E"
"事","?"
"宝","C"
"火","R"
"商","S"
"首","B"
"进入 {0}","Enter {0}"
"完成房间（战斗默认胜利）","Complete Room (combat counts as a win)"
"战斗胜利！选择一个奖励袋","Victory! Choose a reward bag"

"确认放弃","Confirm Abandon"
"放弃并返回","Abandon & Return"
"取消","Cancel"
"放弃本局并返回主菜单？","Abandon this run and return to the main menu?"
"本局会归档进「历史记录」，进行中的存档将被删除（无法再继续）。","The run is archived under History and the in-progress save is deleted (it cannot be continued)."

"返回地图","Back to Map"
"当前不在休息点","Not at a rest site"
"当前不在事件房","Not in an event room"
"当前不在宝藏房","Not in a treasure room"
"当前不在商店房","Not in a shop"
"🔥 休息点","🔥 Rest Site"
"首领前的最后一处篝火。","The last campfire before the boss."
"睡一觉约恢复 {0} 点生命（遗物可加成）","Sleeping restores about {0} HP (relics may increase this)"
"睡觉","Sleep"
"探索（随机获得 1 件普通遗物 + 药材奖励）","Explore (random common relic + herb reward)"
"你遇到了一件奇事，接下来要如何选择？","Something odd happens. What will you do?"
"💎 宝箱","💎 Treasure"
